,token_id,token,cunt,topic_1,topic_2
0,0,回,8,0.006371172610670328,0.0004266072064638138
1,1,定例会,5,0.004123142454773188,0.0004085488908458501
2,2,小樽,32,0.024497337639331818,0.00042940073763020337
3,3,会議,5,0.0010876563610509038,0.0034411619417369366
4,4,本日,4,0.0004901024512946606,0.0032835109159350395
5,5,議員,10,0.007860864512622356,0.00044763300684280694
6,6,日程,4,0.0004139163938816637,0.0033596830908209085
7,7,議題,3,0.0003823350998573005,0.002636592835187912
8,8,日,8,0.00632631778717041,0.0004714017850346863
9,9,なし,3,0.0026362070348113775,0.0003847769694402814
10,10,一括,3,0.00038139577372930944,0.002637536032125354
11,11,報告,4,0.0004173860070295632,0.003356210421770811
12,12,議案,34,0.0004024649388156831,0.026011520996689796
13,13,各,6,0.00042742196819745004,0.004855539184063673
14,14,提案,4,0.001281386474147439,0.0024929300416260958
15,15,説明,3,0.0003811066853813827,0.002637827303260565
16,16,支給,3,0.0024486223701387644,0.0005720881163142622
17,17,職員,10,0.0004126830317545682,0.007888996973633766
18,18,結果,9,0.007148431614041328,0.00040476012509316206
19,19,調査,3,0.0025887044612318277,0.0004321991582401097
20,20,内容,3,0.002585658337920904,0.0004352366377133876
21,21,届け出,3,0.0026366994716227055,0.00038428729749284685
22,22,対象,5,0.0003810821217484772,0.004147208761423826
23,23,経費,10,0.0005384365795180202,0.007763295900076628
24,24,一部,22,0.0004948570858687162,0.016863012686371803
25,25,市民,23,0.01773403398692608,0.0003944109776057303
26,26,様,8,0.00641798647120595,0.00037989026168361306
27,27,皆,12,0.00943926814943552,0.00038010027492418885
28,28,今後,8,0.00044703891035169363,0.006345284171402454
29,29,周知,3,0.0025850848760455847,0.0004358253499958664
30,30,見直し,4,0.003390055149793625,0.00038629939081147313
31,31,一般,10,0.00039231960545293987,0.007909359410405159
32,32,不,4,0.00038098692311905324,0.0033926249016076326
33,33,会計,16,0.00039459075196646154,0.01243516430258751
34,34,対応,5,0.002295162295922637,0.0022347616031765938
35,35,決算,3,0.00038092141039669514,0.0026380117051303387
36,36,認定,6,0.00038168622995726764,0.0049012815579771996
37,37,事項,4,0.00040136073948815465,0.003372249426320195
38,38,除排雪,5,0.00039493225631304085,0.004133341368287802
39,39,作業,5,0.0040192813612520695,0.0005122578586451709
40,40,排雪,4,0.003394261933863163,0.0003821096906904131
41,41,執行,6,0.00040386716136708856,0.004879092797636986
42,42,指摘,4,0.0014994561206549406,0.0022750524803996086
43,43,協議,5,0.003533697919920087,0.0009973697597160935
44,44,地区,3,0.00038404465885832906,0.0026348803658038378
45,45,地域,25,0.019176889210939407,0.00046218381612561643
46,46,活動,11,0.008655552752315998,0.00040838454151526093
47,47,港湾,11,0.0004317004350014031,0.008624662645161152
48,48,体制,7,0.005654883570969105,0.00038759788731113076
49,49,管理,4,0.00039826950524002314,0.003375332336872816
50,50,事業,43,0.004515312146395445,0.02869444712996483
51,51,措置,3,0.0003830080677289516,0.0026359176263213158
52,52,改善,12,0.00044685479952022433,0.009364193305373192
53,53,運営,6,0.0004358569858595729,0.00484710605815053
54,54,市政,3,0.0025907480157911777,0.00043016739073209465
55,55,新年度,4,0.0032949286978691816,0.00048127249465323985
56,56,施策,12,0.0005192476091906428,0.009291834197938442
57,57,協力,4,0.003395920852199197,0.0003804604057222605
58,58,理解,4,0.003395987907424569,0.00038039396167732775
59,59,多く,3,0.002640697406604886,0.0003803123254328966
60,60,市長,3,0.0026404880918562412,0.0003805199230555445
61,61,歴史,7,0.005662082694470882,0.00038041811785660684
62,62,さん,4,0.003395868232473731,0.00038051308365538716
63,63,まち,12,0.009436370804905891,0.0003829809429589659
64,64,課題,9,0.00715670408681035,0.0003965019714087248
65,65,まちづくり,13,0.0101849976927042,0.00038971775211393833
66,66,対話,3,0.0024465681053698063,0.0005741709028370678
67,67,目,15,0.011703056283295155,0.0003824185987468809
68,68,会,6,0.004886486101895571,0.0004005958326160908
69,69,中小企業,6,0.00042071478674188256,0.004862252622842789
70,70,振興,12,0.003371077124029398,0.0064425840973854065
71,71,北海道新幹線,3,0.002591471653431654,0.0004294408718124032
72,72,協議会,5,0.0041404967196285725,0.0003912315296474844
73,73,活用,9,0.004045526962727308,0.00350472005084157
74,74,交換,3,0.002641526749357581,0.00037948726094327867
75,75,場,4,0.0033951399382203817,0.0003812373033724725
76,76,官民,3,0.0026216418482363224,0.0003993252175860107
77,77,意見,4,0.0033917392138391733,0.0003846364270430058
78,78,昨年,7,0.004885249305516481,0.001156403566710651
79,79,中心,5,0.004115501884371042,0.000416175345890224
80,80,力,10,0.0004652057250496,0.007836488075554371
81,81,好,3,0.002632132265716791,0.0003888611972797662
82,82,循環,3,0.002632132265716791,0.00038886122638359666
83,83,生活,8,0.006417362950742245,0.0003805102896876633
84,84,経済,5,0.0040642693638801575,0.0004673314106184989
85,85,人口,7,0.000421184697188437,0.005616460926830769
86,86,時代,5,0.00041031124419532716,0.004117966163903475
87,87,減少,8,0.00039831059984862804,0.006394012365490198
88,88,行政,9,0.00040503678610548377,0.0071419645100831985
89,89,増加,6,0.00043157514301128685,0.00485139200463891
90,90,ニーズ,3,0.0018620265182107687,0.0011581414146348834
91,91,観光,11,0.00862149614840746,0.00044238113332539797
92,92,状況,4,0.0004941890947520733,0.0032794277649372816
93,93,数,6,0.0004981686943210661,0.0047848280519247055
94,94,旅行者,3,0.0016939176712185144,0.00132609938737005
95,95,政府,4,0.0033951220102608204,0.0003812549402937293
96,96,外国人,3,0.002600225852802396,0.00042070672498084605
