,topic1,topic2,topic3,topic4,topic5
0,0.7234774,0.20234774,0.028824662789702415,0.02416912652552128,0.021181054413318634
1,0.05825933,0.058660924,0.788332462310791,0.05044256150722504,0.044304750859737396
2,0.058256507,0.058658097,0.7882566452026367,0.050525814294815063,0.04430290311574936
3,0.091654606,0.09228643,0.6668506264686584,0.07950685173273087,0.06970144063234329
4,0.09165563,0.09228745,0.6670220494270325,0.07933277636766434,0.06970211863517761
5,0.091656186,0.09228802,0.09374963492155075,0.0793863907456398,0.6429197788238525
6,0.21478721,0.21626781,0.21969260275363922,0.18591035902500153,0.16334204375743866
7,0.21478721,0.21626781,0.21969260275363922,0.18591035902500153,0.16334204375743866
8,0.578025,0.04299662,0.04367764666676521,0.3027752935886383,0.0325254388153553
9,0.42299068,0.05866313,0.4235110282897949,0.05052895098924637,0.044306203722953796
10,0.21478721,0.21626781,0.21969260275363922,0.18591035902500153,0.16334204375743866
11,0.84329885,0.043583214,0.04367997497320175,0.03696264326572418,0.032475266605615616
12,0.091659665,0.09229145,0.6670082807540894,0.07933591306209564,0.06970468908548355
13,0.21478721,0.21626781,0.21969260275363922,0.18591035902500153,0.16334204375743866
14,0.03370179,0.6667591,0.24471892416477203,0.02919105254113674,0.025629175826907158
15,0.3201345,0.023869466,0.6174320578575134,0.02053605206310749,0.018027888610959053
16,0.5149274,0.058658563,0.3316234350204468,0.050424523651599884,0.044366102665662766
17,0.09165563,0.09228745,0.6670220494270325,0.07933277636766434,0.06970211863517761
18,0.09165563,0.09228745,0.6670220494270325,0.07933277636766434,0.06970211863517761
19,0.042702433,0.042996798,0.04367786645889282,0.5716399550437927,0.29898297786712646
20,0.21478721,0.21626781,0.21969260275363922,0.18591035902500153,0.16334204375743866
21,0.42280528,0.058667075,0.05959637090563774,0.4146225154399872,0.04430878162384033
22,0.3099733,0.042996947,0.5774961709976196,0.03705957159399986,0.03247400373220444
23,0.05825787,0.058659464,0.059588462114334106,0.05042523145675659,0.7730689644813538
24,0.21478721,0.21626781,0.21969260275363922,0.18591035902500153,0.16334204375743866
25,0.05826788,0.05866953,0.060815535485744476,0.7779366374015808,0.04431038349866867
26,0.21478721,0.21626781,0.21969260275363922,0.18591035902500153,0.16334204375743866
27,0.0582571,0.058658693,0.7883562445640564,0.050424620509147644,0.044303301721811295
28,0.09165731,0.09228916,0.09375087916851044,0.07933414727449417,0.642968475818634
29,0.091656186,0.09228801,0.09374962747097015,0.07938636094331741,0.6429198384284973
30,0.78669935,0.058982898,0.05958857387304306,0.05042528361082077,0.04430385306477547
31,0.0428434,0.8440122,0.043702382594347,0.03695768862962723,0.03248431161046028
32,0.023704689,0.24907517,0.024281499907374382,0.020547254011034966,0.6823914051055908
33,0.091652006,0.0922838,0.09374520927667618,0.07932992279529572,0.6429890394210815
34,0.7869582,0.058659732,0.059588756412267685,0.0504254475235939,0.044367820024490356
35,0.023713803,0.5322512,0.024246862158179283,0.40175700187683105,0.018031151965260506
36,0.04269713,0.8440616,0.04367228224873543,0.03708071634173393,0.03248826414346695
37,0.04269706,0.8439491,0.04378662630915642,0.03707900643348694,0.03248821198940277
38,0.033698305,0.8769499,0.034484509378671646,0.029222244396805763,0.025645004585385323
39,0.05825936,0.05881689,0.05959010869264603,0.7790288925170898,0.04430479556322098
40,0.09205519,0.66516125,0.09374883770942688,0.07933267205953598,0.06970201432704926
41,0.21478721,0.21626781,0.21969260275363922,0.18591035902500153,0.16334204375743866
42,0.023705453,0.7169341,0.024256713688373566,0.02054448053240776,0.21455922722816467
43,0.058255456,0.05898907,0.05958593264222145,0.050660114735364914,0.7725093960762024
44,0.8439007,0.04299389,0.04367480054497719,0.036958642303943634,0.03247198835015297
45,0.03375024,0.033930857,0.034468214958906174,0.029167890548706055,0.8686828017234802
46,0.09165207,0.092966124,0.09374527633190155,0.6518557071685791,0.06978081166744232
47,0.033813383,0.033975963,0.034468404948711395,0.8720444440841675,0.02569778822362423
48,0.09165449,0.09235765,0.09374780207872391,0.6525387167930603,0.06970137357711792
49,0.027844407,0.5503106,0.028468161821365356,0.37221086025238037,0.02116597816348076
50,0.0427162,0.84418285,0.04367292672395706,0.03695721924304962,0.03247079998254776
